package,repo,private
retry,https://github.com/moul/retry,no
depviz,https://github.com/moul/depviz,yes
anonuuid,https://github.com/moul/anonuuid,no
protoc-gen-gotemplate,https://github.com/moul/protoc-gen-gotemplate,no
zapgorm,https://github.com/moul/zapgorm,no
sshportal,https://github.com/moul/sshportal,no
assh,https://github.com/moul/assh,no
patfind,https://github.com/moul/patfind,no
manfred.life,https://github.com/moul/manfred.life,yes
dockerself,https://github.com/moul/dockerself,no
totp-keychain,https://github.com/moul/totp-keychain,no
pipotron,https://github.com/moul/pipotron,no
graphman,https://github.com/moul/graphman,no
golang-repo-template,https://github.com/moul/golang-repo-template,no
build,https://github.com/moul/build,no
quicssh,https://github.com/moul/quicssh,no
fs-bundler,https://github.com/moul/fs-bundler,no
multipmuri,https://github.com/moul/multipmuri,no
dl,https://github.com/moul/dl,no
cryptoguess,https://github.com/moul/cryptoguess,no
golabo,https://github.com/moul/golabo,yes
number-to-words,https://github.com/moul/number-to-words,no
funcenter,https://github.com/moul/funcenter,no
asciimoul,https://github.com/moul/asciimoul,no
moulsay,https://github.com/moul/moulsay,no
moul.io,https://github.com/moul/moul.io,no
ascii2svg,https://github.com/moul/ascii2svg,no
event,https://github.com/moul/event,no
godev,https://github.com/moul/godev,no
rules.mk,https://github.com/moul/rules.mk,no
tmp-grt-fork,https://github.com/moul/tmp-grt-fork,yes
drunken-bishop,https://github.com/moul/drunken-bishop,no
otp,https://github.com/moul/otp,no
awesome,https://github.com/moul/awesome,yes
guilhunize,https://github.com/moul/guilhunize,no
music-paint,https://github.com/moul/music-paint,no
metronome,https://github.com/moul/metronome,no
hacker-typing,https://github.com/moul/hacker-typing,no
http2curl,https://github.com/moul/http2curl,no
lexique,https://github.com/moul/lexique,no
test-go-mod-version,https://github.com/moul/test-go-mod-version,no
srand,https://github.com/moul/srand,no
junk,https://github.com/moul/junk,no
webchange,https://github.com/moul/webchange,yes
hcfilters,https://github.com/moul/hcfilters,no
pkgman,https://github.com/moul/pkgman,no
wipchat,https://github.com/moul/wipchat,no
roundtripper,https://github.com/moul/roundtripper,no
banner,https://github.com/moul/banner,no
bot,https://github.com/moul/bot,yes
motd,https://github.com/moul/motd,no
sgtm,https://github.com/sgtm-club/sgtm,yes
zapgorm2,https://github.com/moul/zapgorm2,no
openfiles,https://github.com/moul/openfiles,no
grpcbin,https://github.com/moul/grpcbin,no
makerlog,https://github.com/moul/makerlog,no
radioman,https://github.com/moul/radioman,no
makerinbox,https://github.com/moul/makerinbox,yes
u,https://github.com/moul/u,yes
zapfilter,https://github.com/moul/zapfilter,no
testman,https://github.com/moul/testman,no
prefix,https://github.com/moul/prefix,no
generate-fake-data,https://github.com/moul/generate-fake-data,no
berty-library-test,https://github.com/moul/berty-library-test,no
zapconfig,https://github.com/moul/zapconfig,no
git-ci,https://github.com/moul/git-ci,no
converter,https://github.com/moul/converter,no
progress,https://github.com/moul/progress,no
einstein-riddle-generator,https://github.com/moul/einstein-riddle-generator,no
captcha,https://github.com/moul/captcha,no
zapring,https://github.com/moul/zapring,no
alfred-workflow-u,https://github.com/moul/alfred-workflow-u,no
logman,https://github.com/moul/logman,no
totp-cli,https://github.com/moul/totp-cli,no
chizap,https://github.com/moul/chizap,no
rrgc,https://github.com/moul/rrgc,no
climan,https://github.com/moul/climan,no
hostman,https://github.com/moul/hostman,yes
go.moul.io,https://github.com/moul/go.moul.io,yes
cosmos-snapshot,https://github.com/moul/cosmos-snapshot,no
poc-cmd-to-everything,https://github.com/moul/poc-cmd-to-everything,no
adapterkit,https://github.com/moul/adapterkit,no
berty-discord-webhook,https://github.com/moul/berty-discord-webhook,no
gno-stuff,https://github.com/moul/gno-stuff,no
gno-basics,https://github.com/moul/gno-basics,no
asanaman,https://github.com/moul/asanaman,no
manfred.land,https://github.com/moul/manfred.land,yes
adapterkit-module-demo,https://github.com/moul/adapterkit-module-demo,no
mdtable,https://github.com/moul/mdtable,no
mdcodec,https://github.com/moul/mdcodec,no
txtar,https://github.com/moul/txtar,no
plz,https://github.com/moul/plz,no
vanitycal,https://github.com/moul/vanitycal,no
ansicat,https://github.com/moul/ansicat,no
migai,https://github.com/moul/migai,yes
revbro,https://github.com/moul/revbro,no
diyentropy,https://github.com/moul/diyentropy,yes
ghsql,https://github.com/moul/ghsql,yes
bot2,https://github.com/moul/bot2,yes
offline-tools,https://github.com/moul/offline-tools,yes
cubemap,https://github.com/moul/cubemap,yes
sdflkj,https://github.com/moul/sdflkj,yes
